_runtime,_timestamp,train/epsilon,_step,train/loss,train/episode,episode/goal_reward,episode/clipped_reward,episode/action_all,train/learning_rate,episode/tracking_reward,train/grad_norm,episode/actions_up,episode/actions_neutral,episode/actions_down,episode/total_reward,train/buffer_size,run_id,run_name,group
40074.931674603,1788073424.9886482,0.05,1589024.0,0.003558363765478134,674,,,,0.0003,,0.05254757851823649,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
40430.859938193,1788073780.9190247,0.05,1603184.0,0.005559858866035938,679,,,,0.0003,,0.05934963154429042,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
41779.531087791,1788075129.5812826,0.05,1657076.0,0.0027188314124941826,698,,,,0.0003,,0.03828481794222604,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
42114.738665932,1788075464.7945006,0.05,1670536.0,0.004285528790205717,702,,,,0.0003,,0.058520710301939366,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
42604.65922367,1788075954.6719022,0.05,1690068.0,0.004495535045862198,710,,,,0.0003,,0.07104934620084795,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
43452.552551833,1788076802.6128275,0.05,1723920.0,0.0024174849968403578,721,,,,0.0003,,0.04410015026955109,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
43836.392225227,1788077186.4069798,0.05,1739064.0,0.004228632897138596,729,,,,0.0003,,0.055569147134500556,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
44268.618422535,1788077618.6679902,0.05,1756232.0,0.0032611414790153503,733,,,,0.0003,,0.0481688730142769,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
46471.075445663,1788079821.1385772,0.05,1844188.0,0.004115471616387367,764,,,,0.0003,,0.05985565941444596,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
46600.605174823,1788079950.665602,0.05,1849324.0,0.004849767312407494,767,,,,0.0003,,0.07344551669163664,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
47260.053351653,1788080610.1130943,0.05,1875532.0,0.002936867531388998,776,,,,0.0003,,0.04331389582539308,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
48285.019464905,1788081635.0808074,0.05,1916308.0,0.0035838691983371973,790,,,,0.0003,,0.056374053069206925,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
48599.778107908,1788081949.8434005,0.05,1928760.0,0.004668896086513996,793,,,,0.0003,,0.06634682728948932,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
49726.810641681,1788083076.8289628,0.05,1973436.0,0.004412232898175716,810,,,,0.0003,,0.06353578783777569,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
50495.413557651,1788083845.4700403,0.05,2003952.0,0.0036486454773694277,821,,,,0.0003,,0.05884589162866293,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
52351.130869073,1788085701.190705,0.05,2077988.0,0.003943461924791336,847,,,,0.0003,,0.061047042727881216,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
52767.224631859,1788086117.2889652,0.05,2094696.0,0.0036394991911947727,853,,,,0.0003,,0.052312161285610934,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
53200.983259985,1788086551.0230083,0.05,2111904.0,0.0037422170862555504,860,,,,0.0003,,0.0589746986997021,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
53376.880275513,1788086726.8836517,0.05,2118928.0,0.004177638329565525,862,,,,0.0003,,0.0572930831628747,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
57579.935303914,1788090929.9856386,0.05,2285916.0,0.003912216983735561,920,,,,0.0003,,0.055025053669183706,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
57637.125766383,1788090987.1908681,0.05,2288168.0,0.004771847743541002,921,,,,0.0003,,0.07299249550089638,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
58800.713446218,1788092150.7724447,0.05,2334276.0,0.004457537084817886,936,,,,0.0003,,0.05528719583413115,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
59032.775983407,1788092382.835236,0.05,2343432.0,0.0035825795494019985,940,,,,0.0003,,0.04071280913695432,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
59854.942577387,1788093204.997005,0.05,2376116.0,0.005053091794252396,950,,,,0.0003,,0.06284125446864226,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
59991.240860018,1788093341.2920425,0.05,2381508.0,0.005616800859570503,953,,,,0.0003,,0.0694980591519422,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
60544.834470532,1788093894.8875496,0.05,2403492.0,0.008207328617572784,960,,,,0.0003,,0.07166458594383412,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
60584.493977908,1788093934.5532205,0.05,2405048.0,0.008586723357439041,961,,,,0.0003,,0.09538377692303218,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
62310.957581165,1788095661.0122335,0.05,2473644.0,0.004756526555866003,982,,,,0.0003,,0.05607824218687169,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
63077.229557928,1788096427.288534,0.05,2503848.0,0.0033237698953598738,994,,,,0.0003,,0.04385992433347043,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
65892.407225935,1788099242.465084,0.05,2615460.0,0.00442543113604188,1033,,,,0.0003,,0.06262499502263975,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
65927.445111,1788099277.508655,0.05,2616868.0,0.005595726892352104,1033,,,,0.0003,,0.06847199748161449,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
66809.355929695,1788100159.4163883,0.05,2651708.0,0.004216514527797699,1046,,,,0.0003,,0.052803137919088805,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
66863.224845699,1788100213.289089,0.05,2653844.0,0.003932672552764416,1046,,,,0.0003,,0.0484673515388325,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
67234.286121351,1788100584.3464422,0.05,2668540.0,0.006570704281330109,1051,,,,0.0003,,0.07702079886973266,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
67724.464251524,1788101074.5107734,0.05,2687908.0,0.006353619042783976,1058,,,,0.0003,,0.08476426465796714,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
69433.232092708,1788102783.2928717,0.05,2755704.0,0.006146818865090609,1082,,,,0.0003,,0.052399686740062776,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
70498.829747902,1788103848.879097,0.05,2797956.0,0.004273438826203346,1097,,,,0.0003,,0.07112016178900865,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
70668.916719458,1788104018.9699073,0.05,2804644.0,0.004272732883691788,1100,,,,0.0003,,0.046681010495168,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
71543.360587305,1788104893.42364,0.05,2839392.0,0.004451590124517679,1113,,,,0.0003,,0.049834359487655765,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
71566.779016266,1788104916.8340104,0.05,2840300.0,0.005738197825849056,1113,,,,0.0003,,0.07159621725502553,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
71657.766331607,1788105007.8169081,0.05,2843904.0,0.005528719164431095,1114,,,,0.0003,,0.06061733496920125,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
72740.568930436,1788106090.6274595,0.05,2887056.0,0.005474988371133804,1130,,,,0.0003,,0.05965229661663634,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
73718.114726884,1788107068.1694968,0.05,2925820.0,0.0072491061873734,1146,,,,0.0003,,0.08294169742523878,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
74314.216356895,1788107664.2756784,0.05,2949544.0,0.007645909674465656,1156,,,,0.0003,,0.07496109776271928,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
74334.518227658,1788107684.5865455,0.05,2950340.0,0.008122436702251434,1156,,,,0.0003,,0.07610200121931603,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
75253.775373403,1788108603.8322332,0.05,2986864.0,0.003512744791805744,1170,,,,0.0003,,0.04483905226089617,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
75301.350397551,1788108651.4064493,0.05,2988740.0,0.006169801577925682,1172,,,,0.0003,,0.06659510385815438,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
75382.042898383,1788108732.1118126,0.05,2991948.0,0.006221807096153498,1172,,,,0.0003,,0.07302046703929459,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
75918.039645995,1788109268.0771935,0.05,3013164.0,0.006410012021660805,1180,,,,0.0003,,0.07018566892781934,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
76511.331510253,1788109861.3900874,0.05,3036860.0,0.0063119689002633095,1190,,,,0.0003,,0.07749865976467017,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
76885.621761577,1788110235.6318276,0.05,3051712.0,0.005712808109819889,1195,,,,0.0003,,0.05985746126293148,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
78031.191803114,1788111381.2504203,0.05,3097152.0,0.004738887771964073,1212,,,,0.0003,,0.05828299230334511,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
